Date,Item,UPC,Item,Current Units,Current Sales,Current Weight
2024-08-02,14215 - VANILLA BEAN CUSTARD DANISH,14215,VANILLA BEAN CUSTARD DANISH,1,4.25,1
2024-08-02,"14216 - POTATO, CHEDDAR & CHIVE BAKES",14216,"POTATO, CHEDDAR & CHIVE BAKES",1,5.45,1
2024-08-02,14397 - BLUEBERRY STREUSEL MUFFIN,14397,BLUEBERRY STREUSEL MUFFIN,1,3.45,1
2024-08-02,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,4,15.8,4
2024-08-02,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),2,7.3,2
2024-08-02,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,5,19.75,5
2024-08-02,25384 - BLUEBERRY YOGURT MUFFIN,25384,BLUEBERRY YOGURT MUFFIN,0,0,0
2024-08-02,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,2,8.5,2
2024-08-02,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,1,4.25,1
2024-08-02,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-08-02,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,3,9.75,3
2024-08-02,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,13,44.85,13
2024-08-02,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,5,17.25,5
2024-08-02,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,2,9.5,2
2024-08-02,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,2,10.5,2
2024-08-02,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,1,4.75,1
2024-08-02,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,0,0,0
2024-08-02,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,6,34.5,6
2024-08-02,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,1,4.95,1
2024-08-02,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,1,5.45,1
2024-08-02,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,3,16.35,3
2024-08-02,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",2,12.9,2
2024-08-02,26690 - PETITE VANILLA BEAN SCONE,26690,PETITE VANILLA BEAN SCONE,0,0,0
2024-08-02,26704 - IMPOSSIBLE BREAKFAST SANDWICH,26704,IMPOSSIBLE BREAKFAST SANDWICH,2,11.5,0.166
2024-08-02,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,1,4.25,1
2024-08-02,602652170683 - KIND BAR SALTED CARAMEL DK CHOC,602652170683,KIND BAR SALTED CARAMEL DK CHOC,0,0,0
2024-08-02,762111126719 - BISCOTTI VANILLA ALMOND US 24-CS,762111126719,BISCOTTI VANILLA ALMOND US 24-CS,4,7.8,4
2024-08-02,762111144355 - *D*MADELEINES,762111144355,*D*MADELEINES,0,0,0
2024-08-03,"13895 - CHICKEN, MAPLE BUTTER & EGG SANDWICH",13895,"CHICKEN, MAPLE BUTTER & EGG SANDWICH",1,5.45,1
2024-08-03,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,8,27.6,8
2024-08-03,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-08-03,"14216 - POTATO, CHEDDAR & CHIVE BAKES",14216,"POTATO, CHEDDAR & CHIVE BAKES",2,10.9,2
2024-08-03,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,6,23.7,6
2024-08-03,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),0,0,0
2024-08-03,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,6,23.7,6
2024-08-03,25377 - COFFEE CAKE,25377,COFFEE CAKE,3,11.85,3
2024-08-03,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,4,17,4
2024-08-03,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,1,4.25,1
2024-08-03,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-08-03,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,1,3.25,1
2024-08-03,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,15,51.75,15
2024-08-03,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,11,37.95,11
2024-08-03,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,3,14.25,3
2024-08-03,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,1,5.25,1
2024-08-03,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,4,19,4
2024-08-03,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,3,14.25,3
2024-08-03,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,4,23,4
2024-08-03,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,5,24.75,5
2024-08-03,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,5,27.25,5
2024-08-03,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,2,10.9,2
2024-08-03,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",1,6.45,1
2024-08-03,26690 - PETITE VANILLA BEAN SCONE,26690,PETITE VANILLA BEAN SCONE,1,1.95,1
2024-08-03,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,2,8.5,2
2024-08-03,762111126719 - BISCOTTI VANILLA ALMOND US 24-CS,762111126719,BISCOTTI VANILLA ALMOND US 24-CS,2,3.9,2
2024-08-03,762111144355 - *D*MADELEINES,762111144355,*D*MADELEINES,0,0,0
2024-08-03,762111243133 - SBUX SALT N VINGAR 2OZ,762111243133,SBUX SALT N VINGAR 2OZ,0,0,0
