Date	Item	UPC	Item	Current Units	Current Sales	Current Weight
2024-07-27	13896 - COOKIES & CREAM CAKE POP	13896	COOKIES & CREAM CAKE POP	0	0	0
2024-07-27	14089 - BUMBLEBEE CAKE POP	14089	BUMBLEBEE CAKE POP	0	0	0
2024-07-27	25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES	25374	CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES 	2	7.9	2
2024-07-27	25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	25375	CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	0	0	0
2024-07-27	25376 - CHEESE DANISH SQUARE	25376	CHEESE DANISH SQUARE	2	7.9	2
2024-07-27	25377 - COFFEE CAKE	25377	COFFEE CAKE	2	7.9	2
2024-07-27	25385 - BANANA NUT LOAF	25385	BANANA NUT LOAF	0	0	0
2024-07-27	25386 - ICED LEMON LOAF	25386	ICED LEMON LOAF	1	3.95	1
2024-07-27	25426 - CHOCOLATE CHIP COOKIE	25426	CHOCOLATE CHIP COOKIE	0	0	0
2024-07-27	25432 - BIRTHDAY CAKE POP	25432	BIRTHDAY CAKE POP	8	26	8
2024-07-27	25434 - CHOCOLATE CAKE POP	25434	CHOCOLATE CAKE POP	1	3.25	1
2024-07-27	25440 - BACON GOUDA CIABATTA	25440	BACON GOUDA CIABATTA	2	10.9	2
2024-07-27	25441 - SAUS EGG BKFAST SANDWICH	25441	SAUS EGG BKFAST SANDWICH	1	4.95	1
2024-07-27	25442 - REDUCED FAT TURK BAC SAND	25442	REDUCED FAT TURK BAC SAND	1	4.95	1
2024-07-27	25550 - DOUBLE SMOKED BACON	25550	DOUBLE SMOKED BACON	0	0	0
2024-07-27	25658 - HAM N CHZ SAVORY FOLDOVER	25658	HAM N CHZ SAVORY FOLDOVER	0	0	0
2024-07-27	26122 - SOUS VIDE EGG WHT RSTD RED PPR	26122	SOUS VIDE EGG WHT RSTD RED PPR	0	0	0
2024-07-27	26690 - PETITE VANILLA BEAN SCONE	26690	PETITE VANILLA BEAN SCONE	1	1.95	1
2024-07-27	5769 - PUMPKIN & PEPITA LOAF	5769	PUMPKIN & PEPITA LOAF	2	7.9	2
2024-07-27	602652170683 - KIND BAR SALTED CARAMEL DK CHOC	602652170683	KIND BAR SALTED CARAMEL DK CHOC	1	1.95	0.083
2024-07-27	762111144355 - *D*MADELEINES	762111144355	*D*MADELEINES	0	0	0
2024-07-27	762111198464 - ETHOS BOTTLED WATER	762111198464	ETHOS BOTTLED WATER	0	0	0
2024-07-27	762111243140 - SBUX SIMPLY SLTD KETTLE CHIPS	762111243140	SBUX SIMPLY SLTD KETTLE CHIPS	0	0	0
2024-07-27	762111531520 - STRBCKS BTTRD GRMT POPCORN	762111531520	STRBCKS BTTRD GRMT POPCORN	0	0	0
2024-07-27	810091780473 - SIETE SEA SALT POTATO CHIPS	810091780473	SIETE SEA SALT POTATO CHIPS	1	2.55	1
